time,data,data2,data3,data4
100,23376.0,234.0,345.0,456.0
101,23338.0,234.0,345.0,456.0
102,23430.0,234.0,345.0,456.0
103,23405.0,234.0,345.0,456.0
104,23352.0,234.0,345.0,456.0
105,23169.0,234.0,345.0,456.0
106,23203.0,234.0,345.0,456.0
107,23217.0,234.0,345.0,456.0
108,23087.0,234.0,345.0,456.0
109,23024.0,234.0,345.0,456.0
110,23024.0,234.0,345.0,456.0
111,23087.0,234.0,345.0,456.0
112,22923.0,234.0,345.0,456.0
113,23246.0,234.0,345.0,456.0
114,23203.0,234.0,345.0,456.0
115,23323.0,234.0,345.0,456.0
116,23270.0,234.0,345.0,456.0
117,23459.0,234.0,345.0,456.0
118,23473.0,234.0,345.0,456.0
119,23516.0,234.0,345.0,456.0
120,23555.0,234.0,345.0,456.0
121,23869.0,234.0,345.0,456.0
122,24110.0,234.0,345.0,456.0
123,24100.0,234.0,345.0,456.0
124,24004.0,234.0,345.0,456.0
125,23507.0,234.0,345.0,456.0
126,23430.0,234.0,345.0,456.0
127,23420.0,234.0,345.0,456.0
128,23241.0,234.0,345.0,456.0
129,23280.0,234.0,345.0,456.0
130,23603.0,234.0,345.0,456.0
131,23603.0,234.0,345.0,456.0
132,23738.0,234.0,345.0,456.0
133,23753.0,234.0,345.0,456.0
134,22990.0,234.0,345.0,456.0
135,23053.0,234.0,345.0,456.0
136,23111.0,234.0,345.0,456.0
137,23386.0,234.0,345.0,456.0
138,23555.0,234.0,345.0,456.0
139,23748.0,234.0,345.0,456.0
140,23830.0,234.0,345.0,456.0
141,23801.0,234.0,345.0,456.0
142,23323.0,234.0,345.0,456.0
143,23589.0,234.0,345.0,456.0
144,23468.0,234.0,345.0,456.0
145,23816.0,234.0,345.0,456.0
146,23816.0,234.0,345.0,456.0
147,23975.0,234.0,345.0,456.0
148,24018.0,234.0,345.0,456.0
149,24139.0,234.0,345.0,456.0
150,24183.0,234.0,345.0,456.0
151,24149.0,234.0,345.0,456.0
152,24105.0,234.0,345.0,456.0
153,24129.0,234.0,345.0,456.0
154,24115.0,234.0,345.0,456.0
155,24129.0,234.0,345.0,456.0
156,24342.0,234.0,345.0,456.0
157,24327.0,234.0,345.0,456.0
158,24274.0,234.0,345.0,456.0
159,24255.0,234.0,345.0,456.0
160,24453.0,234.0,345.0,456.0
161,24265.0,234.0,345.0,456.0
162,23956.0,234.0,345.0,456.0
163,24009.0,234.0,345.0,456.0
164,24269.0,234.0,345.0,456.0
165,24453.0,234.0,345.0,456.0
166,24641.0,234.0,345.0,456.0
167,24559.0,234.0,345.0,456.0
168,24588.0,234.0,345.0,456.0
